country,iso3,year,population,cases,disease,cases_per_100k
Sao Tome and Principe,STP,2021,223107.0,0,Measles,0.0
Sao Tome and Principe,STP,2021,223107.0,250,Tuberculosis,112.05385756610058
Saudi Arabia,SAU,2021,35950396.0,0,Malaria,0.0
Saudi Arabia,SAU,2021,35950396.0,338,Measles,0.9401843584699318
Saudi Arabia,SAU,2021,35950396.0,3000,Tuberculosis,8.344831584052647
Senegal,SEN,2021,16876720.0,995763,Malaria,5900.216392758783
Senegal,SEN,2021,16876720.0,187,Measles,1.1080352106333458
Senegal,SEN,2021,16876720.0,19000,Tuberculosis,112.58111765793353
Serbia,SRB,2021,7296769.0,1,Measles,0.01370469587292677
Serbia,SRB,2021,7296769.0,1100,Tuberculosis,15.075165460219447
Seychelles,SYC,2021,106471.0,0,Measles,0.0
Seychelles,SYC,2021,106471.0,13,Tuberculosis,12.20989753078303
Sierra Leone,SLE,2021,8420641.0,2777394,Malaria,32983.16600838344
Sierra Leone,SLE,2021,8420641.0,170,Measles,2.0188486838472275
Sierra Leone,SLE,2021,8420641.0,24000,Tuberculosis,285.01393183725565
Singapore,SGP,2021,5941060.0,2800,Tuberculosis,47.12963679882041
Sint Maarten (Dutch part),SXM,2021,44042.0,1,Tuberculosis,2.2705599200762907
Slovakia,SVK,2021,5447622.0,0,Measles,0.0
Slovakia,SVK,2021,5447622.0,150,Tuberculosis,2.7534950112177388
Slovenia,SVN,2021,2119410.0,0,Measles,0.0
Slovenia,SVN,2021,2119410.0,91,Tuberculosis,4.2936477604616385
Solomon Islands,SLB,2021,707851.0,151437,Malaria,21393.909170150215
Solomon Islands,SLB,2021,707851.0,460,Tuberculosis,64.9854277241962
